Day,"Ad name","Amount spent (USD)",Impressions,"Link clicks",Purchases,"Purchases conversion value","Purchase ROAS (return on ad spend)","CPC (cost per link click)","CTR (link click-through rate)","CPM (cost per 1,000 impressions)","Link (ad settings)","Reporting starts","Reporting ends"
2026-03-08,"25.02.26 |  Static - 6 | LogOX 3-in-1 Forestry MultiTool| Text Variation - 1 | LP : PDP",0.05,6,,,,,,,8.33333333,https://www.thelogox.com/products/logox-3-in-1,2026-03-08,2026-03-08
2026-03-08,"03.03.26 | B6.V3 | LogOX Hauler | Text Variation - 1 | LP : LogOX Hauler",17.49,3891,11,,,,1.59,0.28270368,4.49498843,https://www.thelogox.com/products/logox-carrying-tool,2026-03-08,2026-03-08
2026-03-08,"25.02.26 | Video - 1 | LogOX_Dan-D-Lift_video_revised | Text Variation - 1 | LP : PDP",13.01,2477,24,,,,0.54208333,0.96891401,5.25232136,https://www.thelogox.com/products/timberox-ddl,2026-03-08,2026-03-08
2026-03-08,"25.02.26 | Video - 5 | LogOX_Hauler_podcast_revised | Text Variation - 1 | LP : PDP",4.06,1043,3,,,,1.35333333,0.28763183,3.89261745,https://www.thelogox.com/products/logox-carrying-tool,2026-03-08,2026-03-08
2026-03-08,"25.02.26 |  Video - 2 | LogOX_Hauler_video_revised | Text Variation - 1 | LP : PDP",2.61,712,2,,,,1.305,0.28089888,3.66573034,https://www.thelogox.com/products/logox-carrying-tool,2026-03-08,2026-03-08
2026-03-08,"25.02.26 |  Static - 2 | LogOX 3-in-1 Forestry MultiTool| Text Variation - 1 | LP : PDP",0.41,53,2,,,,0.205,3.77358491,7.73584906,https://www.thelogox.com/products/logox-3-in-1,2026-03-08,2026-03-08
2026-03-08,"25.02.26 |  Video - 4 | LogOX_Dan-D-Lift_1to1_revised | Text Variation - 1 | LP : PDP",10.18,2258,18,,,,0.56555556,0.79716563,4.50841453,https://www.thelogox.com/products/timberox-ddl,2026-03-08,2026-03-08
2026-03-08,"25.02.26 |  Static - 8 | CarryOX Gear Bag | Text Variation - 1 | LP : PDP",16.67,1311,18,,,,0.92611111,1.37299771,12.71548436,https://www.thelogox.com/products/carryox-gear-bag,2026-03-08,2026-03-08
2026-03-08,"25.02.26 |  Static - 4 | LogOX 3-in-1 Forestry MultiTool| Text Variation - 1 | LP : PDP",0.01,1,,,,,,,10,https://www.thelogox.com/products/logox-3-in-1,2026-03-08,2026-03-08
2026-03-08,"25.02.26 |  Static - 5 | LogOX 3-in-1 Forestry MultiTool| Text Variation - 1 | LP : PDP",0.07,10,,,,,,,7,https://www.thelogox.com/products/logox-3-in-1,2026-03-08,2026-03-08
2026-03-08,"25.02.26 |  Static - 3 | LogOX 3-in-1 Forestry MultiTool| Text Variation - 1 | LP : PDP",66.35,6867,29,1,289,4.35568953,2.28793103,0.4223096,9.66215232,https://www.thelogox.com/products/logox-3-in-1,2026-03-08,2026-03-08
2026-03-08,"25.02.26 |  Static - 8 | LogOX 3-in-1 Forestry MultiTool| Text Variation - 1 | LP : PDP",0.14,16,,,,,,,8.75,https://www.thelogox.com/products/logox-3-in-1,2026-03-08,2026-03-08
2026-03-08,"25.02.26 |  Static - 10 | CarryOX Gear Bag | Text Variation - 1 | LP : PDP",12.85,1120,19,,,,0.67631579,1.69642857,11.47321429,https://www.thelogox.com/products/carryox-gear-bag,2026-03-08,2026-03-08
2026-03-08,"25.02.26 |  Video - 3 | LogOX_3-in-1tool_video_revised | Text Variation - 1 | LP : PDP",6.67,2000,7,,,,0.95285714,0.35,3.335,https://www.thelogox.com/products/logox-3-in-1,2026-03-08,2026-03-08
2026-03-07,"17.11.25 | Video - 3 | LogOX 3-in-1 Forestry MultiTool | Text Variation - 2 | LP - PDP",32.46,1728,28,,,,1.15928571,1.62037037,18.78472222,https://www.thelogox.com/products/logox-3-in-1,2026-03-07,2026-03-07
2026-03-07,"06.01.26 | B6.V2 | Forester Package | Text Variation - 1 | LP : Forester Package",149.69,17017,220,4,1377.9,9.20502372,0.68040909,1.29282482,8.79649762,https://www.thelogox.com/products/forester-package,2026-03-07,2026-03-07
2026-03-07,"06.01.26 | B6.V1 | Forester Package | Text Variation - 1 | LP : Forester Package",32.08,2160,20,,,,1.604,0.92592593,14.85185185,https://www.thelogox.com/products/forester-package,2026-03-07,2026-03-07
2026-03-07,"06.01.26 | B4.V4 | LogOX 3-in-1 Forestry MultiTool | Text Variation - 1 | LP : PDP",39.36,3055,41,,,,0.96,1.34206219,12.88379705,https://www.thelogox.com/products/logox-3-in-1,2026-03-07,2026-03-07
2026-03-07,"09.12.25 | Video -2 | LogOX 3-in-1 Forestry MultiTool | Text Variation - 1 LP : Multitool PDP",161.2,10788,122,1,289,1.79280397,1.32131148,1.13088617,14.94252874,https://www.thelogox.com/pages/multitool,2026-03-07,2026-03-07
2026-03-07,"09.12.25 | Video - 3 | LogOX 3-in-1 Forestry MultiTool | Text Variation - 2 | LP - Multitool PDP",28.86,1053,25,2,558,19.33471933,1.1544,2.37416904,27.40740741,https://www.thelogox.com/pages/multitool,2026-03-07,2026-03-07
2026-03-07,"Video | Site B | Austin  - 711679707645394",49.82,5132,66,,,,0.75484848,1.28604832,9.70771629,https://www.thelogox.com/pages/multitool?utm_source=ABM,2026-03-07,2026-03-07
2026-03-07,"17.11.25 | Video -2 | LogOX 3-in-1 Forestry MultiTool | Text Variation - 1 LP - PDP",225.47,12822,193,2,578,2.56353395,1.16823834,1.50522539,17.58462018,https://www.thelogox.com/products/logox-3-in-1,2026-03-07,2026-03-07
2026-03-07,"Video | Site B | Austin  - 816341450512552",196.3,20424,187,3,847,4.31482425,1.04973262,0.9155895,9.61124168,https://www.thelogox.com/pages/multitool?utm_source=ABM,2026-03-07,2026-03-07
2026-03-07,"Vid FB1 937590858387610",29.44,2339,28,1,279,9.47690217,1.05142857,1.19709277,12.58657546,https://www.thelogox.com/pages/multitool,2026-03-07,2026-03-07
2026-03-07,"Vid YT4 937590921720937",19.69,1383,12,,,,1.64083333,0.86767896,14.23716558,https://www.thelogox.com/pages/multitool,2026-03-07,2026-03-07
2026-03-07,"3-in-1 Forestry MultiTool Static",20.97,2393,16,,,,1.310625,0.6686168,8.76305892,https://www.thelogox.com/pages/multitool,2026-03-07,2026-03-07
2026-03-07,"17.11.25 | Video - 6 | TimberOX Summit 30-Ton | Text Variation - 3 | LP - PDP",2,114,9,,,,0.22222222,7.89473684,17.54385965,https://www.thelogox.com/products/timberox,2026-03-07,2026-03-07
2026-03-07,"17.11.25 | Video -2 | LogOX 3-in-1 Forestry MultiTool | Text Variation - 1 LP - PDP",0.07,4,,,,,,,17.5,https://www.thelogox.com/products/logox-3-in-1,2026-03-07,2026-03-07
2026-03-07,"25.02.26 |  Static - 9 | The Fireside Bundle | Text Variation - 1 | LP : PDP",32.25,2844,10,,,,3.225,0.35161744,11.33966245,https://www.thelogox.com/products/fireside-bundle,2026-03-07,2026-03-07
2026-03-07,"06.01.26 | B6.V2 | Forester Package | Text Variation - 1 | LP : Forester Package",0.01,1,,,,,,,10,https://www.thelogox.com/products/forester-package,2026-03-07,2026-03-07
2026-03-07,"25.02.26 |  Static - 6 | LogOX 3-in-1 Forestry MultiTool| Text Variation - 1 | LP : PDP",0.2,22,,,,,,,9.09090909,https://www.thelogox.com/products/logox-3-in-1,2026-03-07,2026-03-07
2026-03-07,"25.02.26 |  Video - 4 | LogOX_Dan-D-Lift_1to1_revised | Text Variation - 1 | LP : PDP",4.18,873,10,,,,0.418,1.14547537,4.78808706,https://www.thelogox.com/products/timberox-ddl,2026-03-07,2026-03-07
2026-03-07,"25.02.26 | Video - 1 | LogOX_Dan-D-Lift_video_revised | Text Variation - 1 | LP : PDP",17.38,3565,35,,,,0.49657143,0.98176718,4.87517532,https://www.thelogox.com/products/timberox-ddl,2026-03-07,2026-03-07
2026-03-07,"25.02.26 | Video - 5 | LogOX_Hauler_podcast_revised | Text Variation - 1 | LP : PDP",5.75,1238,7,,,,0.82142857,0.56542811,4.64458805,https://www.thelogox.com/products/logox-carrying-tool,2026-03-07,2026-03-07
2026-03-07,"25.02.26 |  Video - 2 | LogOX_Hauler_video_revised | Text Variation - 1 | LP : PDP",3.03,711,,,,,,,4.26160338,https://www.thelogox.com/products/logox-carrying-tool,2026-03-07,2026-03-07
2026-03-07,"25.02.26 |  Static -1 | LogOX 3-in-1 Forestry MultiTool| Text Variation - 1 | LP : PDP",0.35,24,,,,,,,14.58333333,https://www.thelogox.com/products/logox-3-in-1,2026-03-07,2026-03-07
2026-03-07,"03.03.26 | B6.V3 | LogOX Hauler | Text Variation - 1 | LP : LogOX Hauler",17.32,4267,26,,,,0.66615385,0.6093274,4.05905789,https://www.thelogox.com/products/logox-carrying-tool,2026-03-07,2026-03-07
2026-03-07,"25.02.26 | Video - 6 | LogOX_3-in-1tool_podcast_revised | Text Variation - 1 | LP : PDP",11.88,3141,16,,,,0.7425,0.50939191,3.78223496,https://www.thelogox.com/products/logox-3-in-1,2026-03-07,2026-03-07
2026-03-07,"25.02.26 |  Static - 3 | LogOX 3-in-1 Forestry MultiTool| Text Variation - 1 | LP : PDP",62.83,5848,41,3,585.06,9.31179373,1.53243902,0.70109439,10.74384405,https://www.thelogox.com/products/logox-3-in-1,2026-03-07,2026-03-07
2026-03-07,"25.02.26 | Static - 7 | LogOX 3-in-1 Forestry MultiTool | Text Variation - 1 | LP : PDP",0.1,22,,,,,,,4.54545455,https://www.thelogox.com/products/logox-3-in-1,2026-03-07,2026-03-07
2026-03-07,"25.02.26 |  Static - 10 | CarryOX Gear Bag | Text Variation - 1 | LP : PDP",10.03,858,18,,,,0.55722222,2.0979021,11.68997669,https://www.thelogox.com/products/carryox-gear-bag,2026-03-07,2026-03-07
2026-03-07,"25.02.26 |  Static - 8 | CarryOX Gear Bag | Text Variation - 1 | LP : PDP",23.35,1646,9,,,,2.59444444,0.54678007,14.18590522,https://www.thelogox.com/products/carryox-gear-bag,2026-03-07,2026-03-07
2026-03-07,"25.02.26 |  Video - 3 | LogOX_3-in-1tool_video_revised | Text Variation - 1 | LP : PDP",12.06,2849,4,,,,3.015,0.14040014,4.23306423,https://www.thelogox.com/products/logox-3-in-1,2026-03-07,2026-03-07
