Start Date,End Date,Portfolio name,Currency,Campaign Name,Retailer,Country,Bidding strategy,Placement,Impressions,Clicks,Cost per click (CPC),Spend,7 Day Total Sales,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#)
"Feb 02, 2026","Mar 18, 2026",Jars,USD,NM - SP - STR - PT 2 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,16,0,,0,0,,,0,0
"Feb 03, 2026","Mar 15, 2026",Jars,USD,NM - SP - STR - PT 2 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,4,0,,0,0,,,0,0
"Feb 01, 2026","Mar 02, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 7 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,16,1,1,1,0,,0.00,0,0
"Feb 03, 2026","Mar 13, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 7 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,99,1,1,1,0,,0.00,0,0
"Feb 01, 2026","Mar 05, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 7 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,76,2,2,5,0,,0.00,0,0
"Feb 01, 2026","Mar 17, 2026",Stick Packs,USD,NM - SP - Phrase - Branded - Stick Packs - Multi - Jan 2026,Amazon,United States,Fixed bids,Product pages on Amazon,507,12,2,24,323,7.4512%,13.42,8,10
"Feb 03, 2026","Mar 08, 2026",Stick Packs,USD,NM - SP - Phrase - Branded - Stick Packs - Multi - Jan 2026,Amazon,United States,Fixed bids,Rest of search on Amazon,52,0,,0,0,,,0,0
"Feb 03, 2026","Mar 08, 2026",Stick Packs,USD,NM - SP - Phrase - Branded - Stick Packs - Multi - Jan 2026,Amazon,United States,Fixed bids,Top of Search on Amazon,8,0,,0,0,,,0,0
"Feb 03, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 7 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,8,0,,0,0,,,0,0
"Feb 01, 2026","Mar 05, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 7 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,161,6,1,4,0,,0.00,0,0
