Start Date,End Date,Portfolio name,Currency,Campaign Name,Country,Ad Group Name,Retailer,Targeting,Match Type,Impressions,Top-of-search impression share,Clicks,Click-through rate (CTR),Cost per click (CPC),Spend,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Sales,7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales,7 Day Other SKU Sales
"Feb 08, 2026","Mar 12, 2026",Jars,USD,NM - SP - Phrase 2 - MDF - Jars - Sep 2025,United States,NM - SP - Jars - Phrase 2 - Sep 2025,Amazon,electrolytes powder no,PHRASE,13,0.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 03, 2026","Mar 17, 2026",Jars,USD,NM - SP - Phrase 2 - MDF - Jars - Sep 2025,United States,NM - SP - Jars - Phrase 2 - Sep 2025,Amazon,lmnt electrolyte powder,PHRASE,15,0.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 01, 2026","Mar 15, 2026",Jars,USD,NM - SP - Phrase 2 - MDF - Jars - Sep 2025,United States,NM - SP - Jars - Phrase 2 - Sep 2025,Amazon,collagen with creatine,PHRASE,2,0.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 02, 2026","Feb 20, 2026",Jars,USD,NM - SP - Phrase 2 - MDF - Jars - Sep 2025,United States,NM - SP - Jars - Phrase 2 - Sep 2025,Amazon,creatine powder for,PHRASE,5,0.8700%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 15, 2026","Feb 15, 2026",Jars,USD,NM - SP - Phrase 2 - MDF - Jars - Sep 2025,United States,NM - SP - Jars - Phrase 2 - Sep 2025,Amazon,creatine and electrolyte,PHRASE,2,0.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 05, 2026","Mar 12, 2026",Jars,USD,NM - SP - Phrase 4 - Jars - Sep 2025,United States,NM - SP - Jars - Phrase 4 - Sep 2025,Amazon,lmnt raspberry salt,PHRASE,5,0.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 01, 2026","Mar 17, 2026",Jars,USD,NM - SP - Phrase 4 - Jars - Sep 2025,United States,NM - SP - Jars - Phrase 4 - Sep 2025,Amazon,with creatine and,PHRASE,132,0.0600%,1,0.7576%,2,2,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 10, 2026","Feb 15, 2026",Jars,USD,NM - SP - Phrase 4 - Jars - Sep 2025,United States,NM - SP - Jars - Phrase 4 - Sep 2025,Amazon,electrolyte and collagen,PHRASE,0,,0,,0,0,,,0,0,0,,0,0,0,0
"Feb 01, 2026","Mar 11, 2026",Jars,USD,NM - SP - Phrase 4 - Jars - Sep 2025,United States,NM - SP - Jars - Phrase 4 - Sep 2025,Amazon,sugar free electrolytes,PHRASE,7,0.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 12, 2026","Mar 07, 2026",Jars,USD,NM - SP - Phrase 4 - Jars - Sep 2025,United States,NM - SP - Jars - Phrase 4 - Sep 2025,Amazon,creatine collagen powder,PHRASE,1,0.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
